,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
211,Goroka,10,PG,1592242951,87,-6.08,145.39,58.17,1.25
212,Pagudpud,74,PH,1592242952,80,18.56,120.79,80.76,4.92
213,Cabo San Lucas,5,MX,1592242954,45,22.89,-109.91,93.2,4.7
214,Alyangula,1,AU,1592242955,94,-13.85,136.42,69.8,3.36
215,Codrington,100,AU,1592242956,85,-38.27,141.97,53.56,13.69
216,Mackay,90,AU,1592242959,88,-21.15,149.2,69.8,8.05
217,Mogadishu,84,SO,1592242960,79,2.04,45.34,79.41,19.86
218,Aklavik,75,CA,1592242688,76,68.22,-135.01,55.4,6.93
219,Padang,97,ID,1592242964,80,-0.95,100.35,78.71,5.06
220,Ciudad Bolivar,70,VE,1592242965,41,8.12,-63.55,95.27,3.89
221,Broken Hill,0,AU,1592242703,57,-31.95,141.43,51.8,9.17
222,Tigzirt,0,DZ,1592242968,49,36.89,4.12,73.83,2.95
223,Onguday,74,RU,1592242969,81,50.75,86.15,47.57,1.72
224,Rangāpāra,76,IN,1592242971,88,26.82,92.65,79.84,2.68
225,Kuopio,5,FI,1592242972,36,62.89,27.68,77.0,8.05
226,Batalha,89,BR,1592242973,94,-9.68,-37.12,72.97,9.4
227,Hambantota,19,LK,1592242975,81,6.12,81.12,82.54,17.05
228,Malaia,20,RO,1592242976,73,45.35,24.03,69.8,3.36
229,Dungarvan,20,IE,1592242977,77,52.09,-7.63,64.99,9.17
230,Clyde River,75,CA,1592242979,94,70.47,-68.59,32.0,20.8
231,São João da Barra,90,BR,1592242981,78,-21.64,-41.05,75.2,13.87
232,Upernavik,100,GL,1592242983,88,72.79,-56.15,34.43,3.36
233,Bredasdorp,19,ZA,1592242984,87,-34.53,20.04,51.8,5.88
234,Preslav,100,BG,1592242985,88,43.17,26.82,66.45,4.0
235,Katsuura,75,JP,1592242987,83,35.13,140.3,75.99,12.75
236,Pangody,79,RU,1592242988,61,65.85,74.49,51.19,10.0
237,Esperance,90,AU,1592242989,87,-33.87,121.9,50.0,8.05
238,Smidovich,100,RU,1592242991,92,48.6,133.82,50.61,6.62
